No.,σc,SCF,B1,Wet,MR,H,Kv,Location,Rc/σ1
1,148.52,0.66,22.3,3.23,2,166,0.88,Construction branch tunnel,6.73
2,162.33,0.72,13.2,5.23,3,317,0.71,Traffic tunnel,2.91
3,116.78,0.37,29.73,3.52,1,177,0.68,Construction branch tunnel,5.12
4,109.33,0.42,32.77,2.97,1,148,0.71,Main powerhouse,11.36
5,98.56,0.28,42.73,2.17,0,171,0.49,Tailrace tunnel,15.23
6,156.73,0.49,20.13,3.82,2,289,0.91,Traffic tunnel,2.77
7,100.32,0.38,28.77,3.02,1,182,0.70,Main powerhouse,3.77
8,142.20,0.72,27.52,4.30,2,308,0.73,Traffic tunnel,3.63
9,160.32,0.69,16.55,5.72,3,265,0.90,High-pressure water diversion tunnel,2.37
10,97.60,0.42,15.50,3.20,1,162,0.62,Traffic tunnel,3.58
11,100.20,0.58,30.12,4.50,1,274,0.64,Main powerhouse,12.25
12,106.32,0.22,36.42,1.75,0,289,0.46,Construction branch tunnel,18.50
13,125.77,0.65,10.36,5.75,2,277,0.92,Traffic tunnel,4.85
14,146.75,0.62,19.35,4.50,2,318,0.88,Construction branch tunnel,10.05
15,107.75,0.57,31.20,3.15,1,276,0.58,Construction branch tunnel,5.30
16,160.75,0.65,12.36,5.41,3,294,0.91,Tailrace tunnel,2.06
17,146.72,0.59,18.75,4.20,2,342,0.84,Traffic tunnel,13.32
18,162.70,0.73,29.70,3.82,2,278,0.70,High-pressure water diversion tunnel,5.35
19,95.50,0.37,42.30,2.75,0,215,0.36,Construction branch tunnel,16.75
20,105.70,0.37,37.35,3.08,1,155,0.66,Tailrace tunnel,4.36
