No.,SCF,B1,Wet,MR
1,0.471,11.109,3.97,2
24,0.405,13.116,7.30,3
2,0.526,14.108,5.76,2
25,0.356,7.588,7.50,1
3,0.478,9.764,7.27,2
26,0.630,4.479,3.17,1
4,0.425,13.982,7.44,2
27,0.783,17.974,1.90,3
5,0.405,14.740,7.08,2
28,0.353,8.839,4.68,1
6,0.547,14.722,6.43,2
29,0.613,7.580,7.27,3
7,0.271,21.687,5.00,2
30,0.443,13.429,6.38,3
8,0.357,24.138,5.00,2
31,0.345,14.556,10.57,3
9,0.417,21.687,5.00,2
32,0.470,21.767,3.17,1
10,0.317,21.687,5.00,2
33,0.490,13.396,6.53,2
11,0.377,28.434,5.00,2
34,0.136,30.769,2.22,0
12,0.385,21.667,5.00,2
35,0.131,30.769,2.22,0
13,0.771,17.500,5.50,3
36,0.076,30.769,2.22,0
14,0.106,31.228,7.40,0
37,0.441,15.044,9.00,2
15,0.096,23.000,5.70,0
38,0.353,20.500,5.00,2
16,0.315,24.110,9.30,2
39,0.379,17.553,9.00,2
17,0.400,80.000,5.80,2
40,0.338,23.973,6.60,2
18,0.548,76.667,5.70,2
41,0.816,9.893,5.76,3
19,0.450,73.333,5.70,2
42,0.345,33.333,5.76,2
20,0.374,12.702,3.20,1
43,0.342,22.056,6.38,3
21,0.692,9.742,4.90,3
44,0.144,14.054,1.30,0
22,0.052,13.426,6.90,0
45,0.250,20.771,3.80,0
23,0.217,13.571,9.10,2
46,0.150,20.771,3.80,0
