No.,σθ,SCF,B1,Wet,MR
1,89.56,0.47,11.11,3.97,2
26,34.15,0.63,4.48,3.17,1
2,89.56,0.53,14.11,5.76,2
27,108.40,0.78,17.97,1.90,3
3,89.56,0.48,9.76,7.27,2
28,69.80,0.35,8.84,4.68,1
4,56.10,0.43,13.98,7.44,2
29,105.00,0.61,7.58,7.27,3
5,54.20,0.40,14.74,7.08,2
30,105.00,0.44,13.43,6.38,3
6,70.30,0.55,14.72,6.43,2
31,105.00,0.35,14.56,10.57,3
7,48.75,0.27,21.69,5.00,2
32,25.49,0.47,21.77,3.17,1
8,62.50,0.36,24.14,5.00,2
33,72.07,0.49,13.40,6.53,2
9,75.00,0.42,21.69,5.00,2
34,21.80,0.14,30.77,2.22,0
10,57.00,0.32,21.69,5.00,2
35,20.90,0.13,30.77,2.22,0
11,89.00,0.38,28.43,5.00,2
36*,12.10,0.08,30.77,2.22,0
12,50.00,0.38,21.67,5.00,2
37*,75.00,0.44,15.04,9.00,2
13,108.00,0.77,17.5,5.50,3
38*,43.40,0.35,20.50,5.00,2
14,18.80,0.11,31.23,7.40,0
39*,62.60,0.38,17.55,9.00,2
15,11.00,0.10,23.00,5.70,0
40*,30.00,0.34,23.97,6.60,2
16,55.40,0.31,24.11,9.30,2
41*,105.00,0.82,9.89,5.76,3
17,48.00,0.40,80.00,5.80,2
42*,105.00,0.35,33.33,5.76,2
18,63.00,0.55,76.67,5.70,2
43*,105.00,0.34,22.06,6.38,3
19,49.50,0.45,73.33,5.70,2
44*,7.50,0.14,14.05,1.30,0
20,30.90,0.37,12.70,3.20,1
45*,24.93,0.25,20.77,3.80,0
21,89.00,0.69,9.74,4.90,3
46*,14.96,0.15,20.77,3.80,0
22,12.30,0.05,13.43,6.90,0
47*,157.60,0.58,13.20,6.30,3
23,55.60,0.22,13.57,9.10,2
48*,148.40,0.45,17.50,5.10,2
24,91.30,0.40,13.12,7.30,3
49*,132.10,0.39,20.90,4.60,2
25,61.00,0.36,7.59,7.50,1
50*,167.20,0.66,13.20,6.80,3
