No.,σθ,σc,σt,SCF,B1,Wet,MR,Kv
龙羊峡水电站地下洞室,30.9,238,7.6,0.13,31.2,7.4,0,0.7
天生桥二级水电站引水隧道,64.5,215,9.0,0.3,24,6.6,2,0.73
冬瓜山铜矿大理岩巷道,75.5,151,18.2,0.5,8.3,3.1,1,0.52
挪威 Heggura 公路隧道,68.5,185,7.7,0.37,24.1,5.0,2,0.69
日本关越隧道,58.2,153,6.9,0.38,22.1,5.1,2,0.72
瑞典 Forsmark 核电冷水隧道,75.6,194,8.9,0.39,21.7,5.0,2,0.81
拉西瓦水电站地下厂房,57.9,181,7.5,0.32,24.1,9.3,1,0.77
瀑布沟水电站地下洞室,73.1,203,8.3,0.36,24.6,4.9,1,0.72
锦屏二级水电站引水隧洞,124.1,152,8.2,0.82,18.5,3.8,1,0.8
挪威 Sewage 隧道,72.6,173,8.0,0.42,21.7,5.2,2,0.74
鱼子溪水电站引水隧道,83.2,157,10.6,0.53,14.8,9.0,2,0.71
前苏联基洛夫矿山,54.9,183,9.0,0.3,20.4,5.1,1,0.65
布鲁革水电站引水隧道,49.0,213,7.7,0.23,27.8,7.8,0,0.59
苏联 Rasvum 矿井巷,62.7,196,9.0,0.32,21.7,5.0,2,0.72
李家峡水电站地下洞室,24.1,241,10.4,0.1,23.0,5.7,0,0.7
挪威 Sima 水电站地下厂房,50.5,187,8.6,0.27,21.7,5.0,2,0.81
瑞典 Vietas 水电站引水隧道,78.8,179,6.7,0.44,26.7,5.5,1,0.56
冬瓜山铜矿矽卡岩巷道,31.2,156,13.9,0.2,11.2,3.6,0,0.44
太平驿水电站引水隧道,61.6,162,9.2,0.38,17.6,9.0,2,0.78
二滩水电站2号支洞,78.1,192,6.5,0.41,29.7,7.3,1,0.85
意大利 Raibi 硫化锌矿井巷,132.4,172,9.8,0.77,17.5,5.5,3,0.82
-119,43.1,122,5.38,0.35,22.7,3.31,1,0.63
-283,87.5,121,8.73,0.72,13.9,9.05,3,0.91
-316,79.1,124,8.64,0.64,14.4,7.74,3,0.96
-467,56.2,119,7.21,0.47,16.5,5.52,2,0.84
-659,62.8,120,6.45,0.52,18.6,4.16,2,0.87
