σθ,σc,σt,SCF,B1,B2,Wet,MR
90.0,170.0,11.3,0.53,15.04,0.88,9.0,2
90.0,220.0,7.4,0.41,29.73,0.93,7.3,1
62.6,165.0,9.4,0.38,17.59,0.89,9.0,1
55.4,176.0,7.3,0.32,24.12,0.92,9.3,2
30.0,88.7,3.7,0.34,23.92,0.92,6.6,2
48.75,180.0,8.3,0.27,21.69,0.91,5.0,2
80.0,180.0,6.7,0.44,26.83,0.93,5.5,1
89.0,236.0,8.3,0.38,28.43,0.93,5.0,2
98.6,120.0,6.5,0.82,18.46,0.9,3.8,2
108.4,140.0,8.0,0.77,17.5,0.98,5.0,3
57.0,180.0,8.3,0.32,21.69,0.91,5.0,2
50.0,130.0,6.0,0.38,21.67,0.91,5.0,2
62.5,175.0,7.25,0.36,24.14,0.92,5.0,2
75.0,180.0,8.3,0.42,21.69,0.91,5.0,2
11.0,115.0,5.0,0.1,23.02,0.92,5.7,0
43.4,123.0,6.0,0.35,20.51,0.91,5.0,2
18.8,178.0,5.7,0.11,31.24,0.94,7.4,0
34.0,150.0,5.4,0.23,27.78,0.93,7.8,0
56.1,131.99,9.44,0.43,13.98,0.87,7.44,2
54.2,134.0,9.1,0.4,0.15,0.87,7.1,2
70.3,128.3,8.7,0.55,0.15,0.87,6.4,2
60.7,111.5,7.86,0.54,14.19,0.87,6.16,3
54.2,134.0,9.09,0.4,15.0,0.87,7.08,2
70.3,129.0,8.73,0.55,11.44,0.87,6.43,2
91.23,157.63,11.96,0.58,13.18,0.86,6.27,3
66.77,148.48,8.47,0.45,17.53,0.89,5.08,1
51.5,132.05,6.33,0.39,20.86,0.91,4.63,2
35.82,127.93,4.43,0.28,28.9,0.93,3.67,1
21.5,107.52,2.98,0.2,36.04,0.95,2.29,0
18.32,96.41,2.01,0.19,47.93,0.96,1.87,0
110.3,167.19,12.67,0.66,13.26,0.86,6.83,3
26.06,118.43,3.51,0.22,33.74,0.94,2.89,1
16.62,156.86,10.66,0.11,14.71,0.87,4.83,2
16.47,156.9,10.33,0.11,15.19,0.88,4.39,2
16.43,157.95,11.06,0.1,14.28,0.87,4.99,3
16.3,155.28,10.63,0.11,14.61,0.87,4.4,2
15.97,114.07,11.96,0.14,9.54,0.81,2.4,0
19.14,106.31,11.96,0.18,8.89,0.8,2.07,0
12.96,117.81,11.96,0.11,9.85,0.82,2.49,0
31.05,147.85,11.96,0.21,12.36,0.85,3.0,1
29.09,138.5,11.96,0.21,11.58,0.84,2.77,0
32.4,140.88,11.96,0.23,11.78,0.84,2.86,2
34.89,151.7,10.66,0.23,14.23,0.87,3.17,2
16.21,135.07,10.33,0.12,13.08,0.86,2.49,2
30.56,160.83,11.06,0.19,14.54,0.87,3.63,3
19.36,113.87,4.43,0.17,25.7,0.93,2.38,2
33.15,106.94,2.98,0.31,35.8,0.95,2.15,1
9.74,88.51,2.98,0.11,29.7,0.93,1.77,0
11.75,83.96,2.98,0.14,28.1,0.93,2.15,0
39.94,117.48,2.98,0.34,39.45,0.95,2.37,2
39.82,128.46,2.98,0.31,43.15,0.95,2.4,1
46.22,140.07,2.01,0.33,69.6,0.97,3.29,2
30.95,123.79,12.65,0.25,9.77,0.81,2.57,2
40.99,186.3,12.62,0.22,14.7,0.87,4.1,1
20.82,122.47,12.67,0.17,9.67,0.81,2.81,2
36.09,164.05,12.67,0.22,12.95,0.86,3.59,1
7.28,52.0,3.7,0.14,14.5,0.87,1.3,0
9.57,99.7,4.8,0.17,20.7,0.91,3.8,0
34.15,54.2,12.13,0.63,4.48,0.63,3.17,2
60.0,135.0,15.04,0.44,8.98,0.8,4.86,2
60.0,66.49,9.72,0.9,6.84,0.74,2.15,2
60.0,106.38,11.2,0.56,9.5,0.81,6.11,2
60.0,86.03,7.14,0.7,12.05,0.85,2.85,2
60.0,149.19,9.3,0.44,16.04,0.88,3.5,2
60.0,136.79,10.42,0.44,13.13,0.86,2.12,2
63.8,110.0,4.5,0.58,24.44,0.92,6.31,1
2.6,20.0,3.0,0.13,6.67,0.74,1.39,0
44.4,120.0,5.0,0.37,24.04,0.92,5.1,2
13.5,110.0,2.67,0.45,11.2,0.84,2.03,2
70.4,110.0,4.5,0.64,24.4,0.92,6.31,1
3.8,20.0,3.0,0.19,6.67,0.74,1.39,0
57.6,120.0,5.0,0.48,24.04,0.92,5.1,1
19.5,30.0,2.67,0.65,11.2,0.84,2.03,1
81.4,110.0,4.5,0.74,24.4,0.92,6.31,3
4.6,20.0,3.0,0.23,6.67,0.74,1.39,0
73.2,120.0,5.0,0.61,24.04,0.92,5.1,1
30.0,30.0,2.67,1.0,11.2,0.84,2.03,3
15.2,53.8,5.56,0.28,9.68,0.81,1.92,0
88.9,142.0,13.2,0.63,10.7,0.83,3.62,3
59.82,85.8,7.31,0.7,11.7,0.84,2.78,1
32.3,67.4,6.7,0.48,10.1,0.82,1.1,0
30.1,88.7,3.7,0.34,23.97,0.92,6.6,3
18.8,171.5,6.3,0.11,27.23,0.93,7.0,0
34.0,149.0,5.9,0.23,25.25,0.92,7.6,1
38.2,53.0,3.9,0.72,13.56,0.86,1.6,0
11.3,90.0,4.8,0.13,18.75,0.9,3.6,0
92.0,263.0,10.7,0.35,24.58,0.92,8.0,1
62.4,235.0,9.5,0.27,24.74,0.92,9.0,3
43.4,136.5,7.2,0.32,18.96,0.9,5.6,3
11.0,105.0,4.9,0.1,21.41,0.91,4.7,0
46.4,100.0,4.9,0.46,20.4,0.9,2.0,1
23.0,80.0,3.0,0.29,26.83,0.93,0.85,1
46.2,105.0,5.3,0.44,19.74,0.9,2.3,1
35.0,133.4,9.3,0.26,14.34,0.87,2.9,1
